time,accel.z,sequence_counter,packet_size
NaN,4.122000000e+03,7042681.00,12
NaN,3.941000000e+03,7042681.01,
NaN,3.949000000e+03,7042681.02,
NaN,4.074000000e+03,7042681.03,
NaN,4.041000000e+03,7042681.04,
NaN,3.948000000e+03,7042681.05,
NaN,3.896000000e+03,7042681.06,
NaN,3.830000000e+03,7042681.07,
NaN,3.811000000e+03,7042681.08,
NaN,3.846000000e+03,7042681.09,
NaN,3.875000000e+03,7042681.10,
23150393330,3.860000000e+03,7042681.11,
NaN,3.766000000e+03,7042682.00,12
NaN,3.789000000e+03,7042682.01,
NaN,3.806000000e+03,7042682.02,
NaN,3.816000000e+03,7042682.03,
NaN,3.740000000e+03,7042682.04,
NaN,3.660000000e+03,7042682.05,
NaN,3.621000000e+03,7042682.06,
NaN,3.577000000e+03,7042682.07,
NaN,3.555000000e+03,7042682.08,
NaN,3.578000000e+03,7042682.09,
NaN,3.564000000e+03,7042682.10,
23150397288,3.487000000e+03,7042682.11,
NaN,3.329000000e+03,7042683.00,12
NaN,3.214000000e+03,7042683.01,
NaN,3.241000000e+03,7042683.02,
NaN,3.417000000e+03,7042683.03,
NaN,3.581000000e+03,7042683.04,
NaN,3.545000000e+03,7042683.05,
NaN,3.388000000e+03,7042683.06,
NaN,3.240000000e+03,7042683.07,
NaN,3.214000000e+03,7042683.08,
NaN,3.253000000e+03,7042683.09,
NaN,3.370000000e+03,7042683.10,
23150401245,3.412000000e+03,7042683.11,
NaN,3.208000000e+03,7042684.00,12
NaN,3.128000000e+03,7042684.01,
NaN,3.151000000e+03,7042684.02,
NaN,3.323000000e+03,7042684.03,
NaN,3.365000000e+03,7042684.04,
NaN,3.349000000e+03,7042684.05,
NaN,3.334000000e+03,7042684.06,
NaN,3.352000000e+03,7042684.07,
NaN,3.327000000e+03,7042684.08,
NaN,3.326000000e+03,7042684.09,
NaN,3.300000000e+03,7042684.10,
23150405203,3.127000000e+03,7042684.11,
NaN,2.929000000e+03,7042685.00,12
NaN,3.041000000e+03,7042685.01,
NaN,2.971000000e+03,7042685.02,
NaN,2.871000000e+03,7042685.03,
NaN,2.892000000e+03,7042685.04,
NaN,3.024000000e+03,7042685.05,
NaN,3.083000000e+03,7042685.06,
NaN,2.949000000e+03,7042685.07,
NaN,2.842000000e+03,7042685.08,
NaN,2.947000000e+03,7042685.09,
NaN,2.977000000e+03,7042685.10,
23150409161,2.975000000e+03,7042685.11,
NaN,2.919000000e+03,7042686.00,12
NaN,2.732000000e+03,7042686.01,
NaN,2.670000000e+03,7042686.02,
NaN,2.865000000e+03,7042686.03,
NaN,2.971000000e+03,7042686.04,
NaN,2.928000000e+03,7042686.05,
NaN,2.859000000e+03,7042686.06,
NaN,2.924000000e+03,7042686.07,
NaN,2.985000000e+03,7042686.08,
NaN,3.025000000e+03,7042686.09,
NaN,3.014000000e+03,7042686.10,
23150413119,3.085000000e+03,7042686.11,
NaN,3.162000000e+03,7042687.00,12
NaN,3.134000000e+03,7042687.01,
NaN,3.079000000e+03,7042687.02,
NaN,3.060000000e+03,7042687.03,
NaN,2.996000000e+03,7042687.04,
NaN,3.079000000e+03,7042687.05,
NaN,3.155000000e+03,7042687.06,
NaN,3.112000000e+03,7042687.07,
NaN,3.106000000e+03,7042687.08,
NaN,3.140000000e+03,7042687.09,
NaN,3.169000000e+03,7042687.10,
23150417077,3.209000000e+03,7042687.11,
NaN,3.234000000e+03,7042688.00,12
NaN,3.296000000e+03,7042688.01,
NaN,3.259000000e+03,7042688.02,
NaN,3.190000000e+03,7042688.03,
NaN,3.108000000e+03,7042688.04,
NaN,2.983000000e+03,7042688.05,
NaN,2.892000000e+03,7042688.06,
NaN,2.881000000e+03,7042688.07,
NaN,2.910000000e+03,7042688.08,
NaN,2.999000000e+03,7042688.09,
NaN,3.096000000e+03,7042688.10,
23150421035,3.112000000e+03,7042688.11,
NaN,3.049000000e+03,7042689.00,12
NaN,3.099000000e+03,7042689.01,
NaN,3.109000000e+03,7042689.02,
NaN,3.091000000e+03,7042689.03,
NaN,3.119000000e+03,7042689.04,
NaN,3.164000000e+03,7042689.05,
NaN,3.234000000e+03,7042689.06,
NaN,3.253000000e+03,7042689.07,
NaN,3.227000000e+03,7042689.08,
NaN,3.271000000e+03,7042689.09,
NaN,3.390000000e+03,7042689.10,
23150424993,3.435000000e+03,7042689.11,
NaN,3.386000000e+03,7042690.00,12
NaN,3.370000000e+03,7042690.01,
NaN,3.473000000e+03,7042690.02,
NaN,3.470000000e+03,7042690.03,
NaN,3.346000000e+03,7042690.04,
NaN,3.265000000e+03,7042690.05,
NaN,3.249000000e+03,7042690.06,
NaN,3.298000000e+03,7042690.07,
NaN,3.446000000e+03,7042690.08,
NaN,3.601000000e+03,7042690.09,
NaN,3.665000000e+03,7042690.10,
23150428949,3.711000000e+03,7042690.11,
