time,ecg2,sequence_counter,packet_size
NaN,0.000000000e+00,7040335.00,31
NaN,-1.000000000e+00,7040335.01,
NaN,-1.000000000e+00,7040335.02,
NaN,1.900000000e+01,7040335.03,
NaN,1.300000000e+02,7040335.04,
NaN,-3.800000000e+01,7040335.05,
NaN,4.000000000e+01,7040335.06,
NaN,3.230000000e+02,7040335.07,
NaN,-5.530000000e+02,7040335.08,
NaN,7.940000000e+02,7040335.09,
NaN,-3.320000000e+02,7040335.10,
NaN,-8.220000000e+02,7040335.11,
NaN,3.617000000e+03,7040335.12,
NaN,-1.677200000e+04,7040335.13,
NaN,-4.431400000e+04,7040335.14,
NaN,-4.328200000e+04,7040335.15,
NaN,-3.994000000e+04,7040335.16,
NaN,-4.137300000e+04,7040335.17,
NaN,-3.900200000e+04,7040335.18,
NaN,-3.869300000e+04,7040335.19,
NaN,-3.788300000e+04,7040335.20,
NaN,-3.656200000e+04,7040335.21,
NaN,-3.588400000e+04,7040335.22,
NaN,-3.502600000e+04,7040335.23,
NaN,-3.409800000e+04,7040335.24,
NaN,-3.315100000e+04,7040335.25,
NaN,-3.230500000e+04,7040335.26,
NaN,-3.144800000e+04,7040335.27,
NaN,-3.061800000e+04,7040335.28,
NaN,-2.983400000e+04,7040335.29,
23150389530,-2.904000000e+04,7040335.30,
NaN,-2.832300000e+04,7040336.00,31
NaN,-2.765700000e+04,7040336.01,
NaN,-2.696600000e+04,7040336.02,
NaN,-2.652300000e+04,7040336.03,
NaN,-2.631000000e+04,7040336.04,
NaN,-2.585700000e+04,7040336.05,
NaN,-2.533400000e+04,7040336.06,
NaN,-2.491000000e+04,7040336.07,
NaN,-2.436900000e+04,7040336.08,
NaN,-2.381300000e+04,7040336.09,
NaN,-2.328100000e+04,7040336.10,
NaN,-2.271000000e+04,7040336.11,
NaN,-2.216800000e+04,7040336.12,
NaN,-2.158700000e+04,7040336.13,
NaN,-2.108300000e+04,7040336.14,
NaN,-2.063600000e+04,7040336.15,
NaN,-2.007500000e+04,7040336.16,
NaN,-1.959400000e+04,7040336.17,
NaN,-1.915700000e+04,7040336.18,
NaN,-1.868500000e+04,7040336.19,
NaN,-1.830200000e+04,7040336.20,
