time,ppg.ir,sequence_counter,packet_size
NaN,2.376965000e+06,7042544.00,12
NaN,2.637996000e+06,7042544.01,
NaN,2.636888000e+06,7042544.02,
NaN,2.636250000e+06,7042544.03,
NaN,2.635749000e+06,7042544.04,
NaN,2.635345000e+06,7042544.05,
NaN,2.635065000e+06,7042544.06,
NaN,2.634869000e+06,7042544.07,
NaN,2.634744000e+06,7042544.08,
NaN,2.634670000e+06,7042544.09,
NaN,2.634645000e+06,7042544.10,
23150382003,2.634529000e+06,7042544.11,
NaN,2.634567000e+06,7042545.00,12
NaN,2.634602000e+06,7042545.01,
NaN,2.634586000e+06,7042545.02,
NaN,2.634421000e+06,7042545.03,
NaN,2.634143000e+06,7042545.04,
NaN,2.633519000e+06,7042545.05,
NaN,2.632552000e+06,7042545.06,
NaN,2.631257000e+06,7042545.07,
NaN,2.629716000e+06,7042545.08,
NaN,2.628142000e+06,7042545.09,
NaN,2.626677000e+06,7042545.10,
23150389822,2.625336000e+06,7042545.11,
NaN,2.624191000e+06,7042546.00,12
NaN,2.623274000e+06,7042546.01,
NaN,2.622641000e+06,7042546.02,
NaN,2.622076000e+06,7042546.03,
NaN,2.621688000e+06,7042546.04,
NaN,2.621288000e+06,7042546.05,
NaN,2.621015000e+06,7042546.06,
NaN,2.620830000e+06,7042546.07,
NaN,2.620585000e+06,7042546.08,
NaN,2.620376000e+06,7042546.09,
NaN,2.620184000e+06,7042546.10,
23150390164,2.620066000e+06,7042546.11,
NaN,2.620083000e+06,7042547.00,12
NaN,2.620032000e+06,7042547.01,
NaN,2.620139000e+06,7042547.02,
NaN,2.620373000e+06,7042547.03,
NaN,2.620610000e+06,7042547.04,
NaN,2.620866000e+06,7042547.05,
NaN,2.621099000e+06,7042547.06,
NaN,2.621293000e+06,7042547.07,
NaN,2.621490000e+06,7042547.08,
NaN,2.621551000e+06,7042547.09,
NaN,2.621668000e+06,7042547.10,
23150394243,2.621658000e+06,7042547.11,
NaN,2.621716000e+06,7042548.00,12
NaN,2.621626000e+06,7042548.01,
NaN,2.621623000e+06,7042548.02,
NaN,2.621637000e+06,7042548.03,
NaN,2.621651000e+06,7042548.04,
NaN,2.621730000e+06,7042548.05,
NaN,2.621928000e+06,7042548.06,
NaN,2.622118000e+06,7042548.07,
NaN,2.622296000e+06,7042548.08,
NaN,2.622560000e+06,7042548.09,
NaN,2.622745000e+06,7042548.10,
23150398323,2.623010000e+06,7042548.11,
NaN,2.623284000e+06,7042549.00,12
NaN,2.623481000e+06,7042549.01,
NaN,2.623789000e+06,7042549.02,
NaN,2.624066000e+06,7042549.03,
NaN,2.624328000e+06,7042549.04,
NaN,2.624578000e+06,7042549.05,
NaN,2.624859000e+06,7042549.06,
NaN,2.625177000e+06,7042549.07,
NaN,2.625387000e+06,7042549.08,
NaN,2.625676000e+06,7042549.09,
NaN,2.625858000e+06,7042549.10,
23150402404,2.626067000e+06,7042549.11,
NaN,2.626248000e+06,7042550.00,12
NaN,2.626413000e+06,7042550.01,
NaN,2.626586000e+06,7042550.02,
NaN,2.626792000e+06,7042550.03,
NaN,2.627008000e+06,7042550.04,
NaN,2.627156000e+06,7042550.05,
NaN,2.627260000e+06,7042550.06,
NaN,2.627471000e+06,7042550.07,
NaN,2.627638000e+06,7042550.08,
NaN,2.627874000e+06,7042550.09,
NaN,2.628091000e+06,7042550.10,
23150406482,2.628299000e+06,7042550.11,
NaN,2.628513000e+06,7042551.00,12
NaN,2.628872000e+06,7042551.01,
NaN,2.629104000e+06,7042551.02,
NaN,2.629375000e+06,7042551.03,
NaN,2.629659000e+06,7042551.04,
NaN,2.629796000e+06,7042551.05,
NaN,2.629955000e+06,7042551.06,
NaN,2.630150000e+06,7042551.07,
NaN,2.629979000e+06,7042551.08,
NaN,2.629353000e+06,7042551.09,
NaN,2.628347000e+06,7042551.10,
23150410562,2.627114000e+06,7042551.11,
NaN,2.625802000e+06,7042552.00,12
NaN,2.624465000e+06,7042552.01,
NaN,2.623085000e+06,7042552.02,
NaN,2.621991000e+06,7042552.03,
NaN,2.621195000e+06,7042552.04,
NaN,2.620612000e+06,7042552.05,
NaN,2.620148000e+06,7042552.06,
NaN,2.619851000e+06,7042552.07,
NaN,2.619664000e+06,7042552.08,
NaN,2.619580000e+06,7042552.09,
NaN,2.619460000e+06,7042552.10,
23150414642,2.619429000e+06,7042552.11,
NaN,2.619325000e+06,7042553.00,12
NaN,2.619272000e+06,7042553.01,
NaN,2.619138000e+06,7042553.02,
NaN,2.619116000e+06,7042553.03,
NaN,2.619248000e+06,7042553.04,
NaN,2.619353000e+06,7042553.05,
NaN,2.619639000e+06,7042553.06,
NaN,2.619940000e+06,7042553.07,
NaN,2.620264000e+06,7042553.08,
NaN,2.620406000e+06,7042553.09,
NaN,2.620689000e+06,7042553.10,
23150418721,2.620832000e+06,7042553.11,
NaN,2.621041000e+06,7042554.00,12
NaN,2.621119000e+06,7042554.01,
NaN,2.621190000e+06,7042554.02,
NaN,2.621302000e+06,7042554.03,
NaN,2.621369000e+06,7042554.04,
NaN,2.621485000e+06,7042554.05,
NaN,2.621615000e+06,7042554.06,
