time,soc.soc,soc.vbat,soc.temp,sequence_counter,packet_size
23152355682,9.320000000e+02,4.106000000e+03,2.500000000e+01,7038009.00,1
23154321764,9.320000000e+02,4.107000000e+03,2.500000000e+01,7038010.00,1
23156287844,9.320000000e+02,4.106000000e+03,2.500000000e+01,7038011.00,1
23158253923,9.310000000e+02,4.102000000e+03,2.500000000e+01,7038012.00,1
23160220003,9.310000000e+02,4.108000000e+03,2.500000000e+01,7038013.00,1
23162186083,9.300000000e+02,4.103000000e+03,2.500000000e+01,7038014.00,1
23164152163,9.300000000e+02,4.102000000e+03,2.500000000e+01,7038015.00,1
23166118244,9.290000000e+02,4.102000000e+03,2.500000000e+01,7038016.00,1
23168084324,9.290000000e+02,4.090000000e+03,2.500000000e+01,7038017.00,1
23170050402,9.280000000e+02,4.097000000e+03,2.500000000e+01,7038018.00,1
23172016484,9.280000000e+02,4.069000000e+03,2.500000000e+01,7038019.00,1
23173982564,9.270000000e+02,4.103000000e+03,2.500000000e+01,7038020.00,1
23175948645,9.270000000e+02,4.101000000e+03,2.500000000e+01,7038021.00,1
