time,accel.x,sequence_counter,packet_size
NaN,1.052000000e+04,7038000.00,12
NaN,1.049500000e+04,7038000.01,
NaN,1.048000000e+04,7038000.02,
NaN,1.049500000e+04,7038000.03,
NaN,1.053700000e+04,7038000.04,
NaN,1.051300000e+04,7038000.05,
NaN,1.049000000e+04,7038000.06,
NaN,1.050600000e+04,7038000.07,
NaN,1.049800000e+04,7038000.08,
NaN,1.049600000e+04,7038000.09,
NaN,1.051200000e+04,7038000.10,
23111175418,1.050600000e+04,7038000.11,
NaN,1.049200000e+04,7038001.00,12
NaN,1.049800000e+04,7038001.01,
NaN,1.052700000e+04,7038001.02,
NaN,1.051600000e+04,7038001.03,
NaN,1.047700000e+04,7038001.04,
NaN,1.046600000e+04,7038001.05,
NaN,1.050300000e+04,7038001.06,
NaN,1.051200000e+04,7038001.07,
NaN,1.051400000e+04,7038001.08,
NaN,1.050500000e+04,7038001.09,
NaN,1.051600000e+04,7038001.10,
23111179377,1.049800000e+04,7038001.11,
NaN,1.048100000e+04,7038002.00,12
NaN,1.048100000e+04,7038002.01,
NaN,1.050400000e+04,7038002.02,
NaN,1.049100000e+04,7038002.03,
NaN,1.049600000e+04,7038002.04,
NaN,1.048200000e+04,7038002.05,
NaN,1.044800000e+04,7038002.06,
NaN,1.049600000e+04,7038002.07,
NaN,1.049600000e+04,7038002.08,
NaN,1.050400000e+04,7038002.09,
NaN,1.051500000e+04,7038002.10,
23111183336,1.048900000e+04,7038002.11,
NaN,1.049300000e+04,7038003.00,12
NaN,1.050400000e+04,7038003.01,
NaN,1.046200000e+04,7038003.02,
NaN,1.049800000e+04,7038003.03,
NaN,1.052300000e+04,7038003.04,
NaN,1.047000000e+04,7038003.05,
NaN,1.049400000e+04,7038003.06,
NaN,1.057700000e+04,7038003.07,
NaN,1.053200000e+04,7038003.08,
NaN,1.042200000e+04,7038003.09,
NaN,1.039900000e+04,7038003.10,
23111187295,1.045400000e+04,7038003.11,
NaN,1.055800000e+04,7038004.00,12
NaN,1.057600000e+04,7038004.01,
NaN,1.054700000e+04,7038004.02,
NaN,1.053100000e+04,7038004.03,
NaN,1.053600000e+04,7038004.04,
NaN,1.047600000e+04,7038004.05,
NaN,1.047200000e+04,7038004.06,
NaN,1.054300000e+04,7038004.07,
NaN,1.053800000e+04,7038004.08,
NaN,1.049300000e+04,7038004.09,
NaN,1.046200000e+04,7038004.10,
23111191253,1.045200000e+04,7038004.11,
NaN,1.048000000e+04,7038005.00,12
NaN,1.049500000e+04,7038005.01,
NaN,1.046600000e+04,7038005.02,
NaN,1.045200000e+04,7038005.03,
NaN,1.047500000e+04,7038005.04,
NaN,1.048300000e+04,7038005.05,
NaN,1.049800000e+04,7038005.06,
NaN,1.051600000e+04,7038005.07,
NaN,1.051900000e+04,7038005.08,
NaN,1.051500000e+04,7038005.09,
NaN,1.049400000e+04,7038005.10,
23111195213,1.052300000e+04,7038005.11,
NaN,1.054300000e+04,7038006.00,12
NaN,1.051900000e+04,7038006.01,
NaN,1.048300000e+04,7038006.02,
NaN,1.051800000e+04,7038006.03,
NaN,1.050400000e+04,7038006.04,
NaN,1.050700000e+04,7038006.05,
NaN,1.051800000e+04,7038006.06,
NaN,1.048500000e+04,7038006.07,
NaN,1.042700000e+04,7038006.08,
NaN,1.048500000e+04,7038006.09,
NaN,1.047600000e+04,7038006.10,
23111199171,1.049000000e+04,7038006.11,
NaN,1.049800000e+04,7038007.00,12
NaN,1.049700000e+04,7038007.01,
NaN,1.049800000e+04,7038007.02,
NaN,1.050500000e+04,7038007.03,
NaN,1.049800000e+04,7038007.04,
NaN,1.049200000e+04,7038007.05,
NaN,1.052300000e+04,7038007.06,
