time,timestamp,sequence_counter,packet_size
23111208561,start at 2026-01-29_11-16-04,7038001.00,1
23111210711,epoch[1769681765.0598357],7038002.00,1
23112005345,start finapress at 2026-01-29_11-16-29,7038003.00,1
23112034298,stop finapress at 2026-01-29_11-16-30,7038004.00,1
23112924186,start rest at 2026-01-29_11-16-57,7038005.00,1
23116851437,stop rest at 2026-01-29_11-18-57,7038006.00,1
23118352499,start 6bpm at 2026-01-29_11-19-42,7038007.00,1
23122089774,stop 6bpm at 2026-01-29_11-21-37,7038008.00,1
23123483649,start handgrip at 2026-01-29_11-22-19,7038009.00,1
23129308082,stop handgrip at 2026-01-29_11-25-17,7038010.00,1
