time,accel.z,sequence_counter,packet_size
NaN,3.101000000e+03,7014675.00,12
NaN,3.150000000e+03,7014675.01,
NaN,3.162000000e+03,7014675.02,
NaN,3.104000000e+03,7014675.03,
NaN,2.974000000e+03,7014675.04,
NaN,3.012000000e+03,7014675.05,
NaN,3.019000000e+03,7014675.06,
NaN,3.002000000e+03,7014675.07,
NaN,3.034000000e+03,7014675.08,
NaN,3.053000000e+03,7014675.09,
NaN,2.921000000e+03,7014675.10,
22999133398,2.923000000e+03,7014675.11,
NaN,3.026000000e+03,7014676.00,12
NaN,3.101000000e+03,7014676.01,
NaN,3.105000000e+03,7014676.02,
NaN,3.090000000e+03,7014676.03,
NaN,3.010000000e+03,7014676.04,
NaN,2.855000000e+03,7014676.05,
NaN,2.774000000e+03,7014676.06,
NaN,2.719000000e+03,7014676.07,
NaN,2.757000000e+03,7014676.08,
NaN,2.813000000e+03,7014676.09,
NaN,2.848000000e+03,7014676.10,
22999137356,2.874000000e+03,7014676.11,
NaN,2.777000000e+03,7014677.00,12
NaN,2.766000000e+03,7014677.01,
NaN,2.836000000e+03,7014677.02,
NaN,2.927000000e+03,7014677.03,
NaN,3.087000000e+03,7014677.04,
NaN,3.093000000e+03,7014677.05,
NaN,2.698000000e+03,7014677.06,
NaN,2.521000000e+03,7014677.07,
NaN,2.430000000e+03,7014677.08,
NaN,2.279000000e+03,7014677.09,
NaN,2.666000000e+03,7014677.10,
22999141313,3.055000000e+03,7014677.11,
NaN,3.049000000e+03,7014678.00,12
NaN,2.727000000e+03,7014678.01,
NaN,2.510000000e+03,7014678.02,
NaN,2.394000000e+03,7014678.03,
NaN,2.345000000e+03,7014678.04,
NaN,2.455000000e+03,7014678.05,
NaN,2.689000000e+03,7014678.06,
NaN,2.807000000e+03,7014678.07,
NaN,2.781000000e+03,7014678.08,
NaN,2.614000000e+03,7014678.09,
NaN,2.481000000e+03,7014678.10,
22999145271,2.419000000e+03,7014678.11,
NaN,2.380000000e+03,7014679.00,12
NaN,2.427000000e+03,7014679.01,
NaN,2.490000000e+03,7014679.02,
NaN,2.463000000e+03,7014679.03,
NaN,2.466000000e+03,7014679.04,
NaN,2.521000000e+03,7014679.05,
NaN,2.350000000e+03,7014679.06,
NaN,2.178000000e+03,7014679.07,
NaN,2.247000000e+03,7014679.08,
NaN,2.192000000e+03,7014679.09,
NaN,2.191000000e+03,7014679.10,
22999149229,2.328000000e+03,7014679.11,
NaN,2.387000000e+03,7014680.00,12
NaN,2.258000000e+03,7014680.01,
NaN,1.992000000e+03,7014680.02,
NaN,1.760000000e+03,7014680.03,
NaN,1.767000000e+03,7014680.04,
NaN,1.926000000e+03,7014680.05,
NaN,2.126000000e+03,7014680.06,
NaN,2.370000000e+03,7014680.07,
NaN,2.435000000e+03,7014680.08,
NaN,2.320000000e+03,7014680.09,
NaN,2.156000000e+03,7014680.10,
22999153187,1.954000000e+03,7014680.11,
NaN,1.882000000e+03,7014681.00,12
NaN,1.885000000e+03,7014681.01,
NaN,1.918000000e+03,7014681.02,
NaN,2.031000000e+03,7014681.03,
NaN,2.087000000e+03,7014681.04,
NaN,2.067000000e+03,7014681.05,
NaN,2.040000000e+03,7014681.06,
NaN,1.992000000e+03,7014681.07,
NaN,1.923000000e+03,7014681.08,
NaN,1.977000000e+03,7014681.09,
NaN,1.985000000e+03,7014681.10,
22999157145,1.982000000e+03,7014681.11,
NaN,2.094000000e+03,7014682.00,12
NaN,2.119000000e+03,7014682.01,
NaN,2.057000000e+03,7014682.02,
NaN,1.943000000e+03,7014682.03,
NaN,1.842000000e+03,7014682.04,
NaN,1.770000000e+03,7014682.05,
NaN,1.867000000e+03,7014682.06,
NaN,1.994000000e+03,7014682.07,
NaN,2.124000000e+03,7014682.08,
NaN,2.210000000e+03,7014682.09,
NaN,2.195000000e+03,7014682.10,
22999161102,1.941000000e+03,7014682.11,
NaN,1.495000000e+03,7014683.00,12
NaN,1.296000000e+03,7014683.01,
NaN,1.211000000e+03,7014683.02,
NaN,1.502000000e+03,7014683.03,
NaN,2.121000000e+03,7014683.04,
NaN,2.216000000e+03,7014683.05,
NaN,2.027000000e+03,7014683.06,
NaN,1.829000000e+03,7014683.07,
NaN,1.647000000e+03,7014683.08,
NaN,1.537000000e+03,7014683.09,
NaN,1.542000000e+03,7014683.10,
22999165061,1.593000000e+03,7014683.11,
NaN,1.642000000e+03,7014684.00,12
NaN,1.691000000e+03,7014684.01,
NaN,1.677000000e+03,7014684.02,
NaN,1.557000000e+03,7014684.03,
NaN,1.388000000e+03,7014684.04,
NaN,1.266000000e+03,7014684.05,
NaN,1.236000000e+03,7014684.06,
NaN,1.185000000e+03,7014684.07,
NaN,1.238000000e+03,7014684.08,
NaN,1.224000000e+03,7014684.09,
NaN,1.236000000e+03,7014684.10,
22999169019,1.148000000e+03,7014684.11,
NaN,9.980000000e+02,7014685.00,12
NaN,8.820000000e+02,7014685.01,
NaN,1.013000000e+03,7014685.02,
NaN,1.068000000e+03,7014685.03,
NaN,1.062000000e+03,7014685.04,
NaN,1.052000000e+03,7014685.05,
NaN,9.790000000e+02,7014685.06,
NaN,8.630000000e+02,7014685.07,
NaN,7.890000000e+02,7014685.08,
NaN,7.740000000e+02,7014685.09,
NaN,7.160000000e+02,7014685.10,
22999172976,6.820000000e+02,7014685.11,
NaN,6.690000000e+02,7014686.00,12
NaN,6.780000000e+02,7014686.01,
NaN,7.780000000e+02,7014686.02,
NaN,8.160000000e+02,7014686.03,
NaN,8.770000000e+02,7014686.04,
NaN,8.610000000e+02,7014686.05,
NaN,8.020000000e+02,7014686.06,
NaN,7.270000000e+02,7014686.07,
NaN,6.450000000e+02,7014686.08,
NaN,6.730000000e+02,7014686.09,
NaN,7.110000000e+02,7014686.10,
22999176934,7.550000000e+02,7014686.11,
NaN,7.400000000e+02,7014687.00,12
NaN,7.250000000e+02,7014687.01,
NaN,6.920000000e+02,7014687.02,
NaN,6.040000000e+02,7014687.03,
NaN,5.190000000e+02,7014687.04,
NaN,4.920000000e+02,7014687.05,
NaN,4.660000000e+02,7014687.06,
NaN,4.490000000e+02,7014687.07,
NaN,3.910000000e+02,7014687.08,
NaN,3.600000000e+02,7014687.09,
NaN,3.490000000e+02,7014687.10,
22999180892,3.600000000e+02,7014687.11,
NaN,4.030000000e+02,7014688.00,12
NaN,4.460000000e+02,7014688.01,
NaN,4.630000000e+02,7014688.02,
NaN,4.740000000e+02,7014688.03,
NaN,4.100000000e+02,7014688.04,
NaN,4.040000000e+02,7014688.05,
NaN,3.800000000e+02,7014688.06,
NaN,1.510000000e+02,7014688.07,
NaN,3.000000000e+01,7014688.08,
NaN,2.300000000e+01,7014688.09,
NaN,-8.600000000e+01,7014688.10,
22999184850,1.800000000e+02,7014688.11,
NaN,5.440000000e+02,7014689.00,12
NaN,5.030000000e+02,7014689.01,
NaN,3.090000000e+02,7014689.02,
NaN,9.700000000e+01,7014689.03,
NaN,5.400000000e+01,7014689.04,
NaN,1.660000000e+02,7014689.05,
NaN,1.770000000e+02,7014689.06,
NaN,1.700000000e+02,7014689.07,
NaN,1.670000000e+02,7014689.08,
NaN,1.400000000e+02,7014689.09,
NaN,1.270000000e+02,7014689.10,
22999188809,4.500000000e+01,7014689.11,
NaN,1.170000000e+02,7014690.00,12
NaN,1.310000000e+02,7014690.01,
NaN,1.170000000e+02,7014690.02,
NaN,4.300000000e+01,7014690.03,
NaN,-7.000000000e+00,7014690.04,
NaN,-2.200000000e+01,7014690.05,
NaN,-8.800000000e+01,7014690.06,
NaN,-9.400000000e+01,7014690.07,
NaN,-2.460000000e+02,7014690.08,
NaN,-3.050000000e+02,7014690.09,
NaN,-2.020000000e+02,7014690.10,
22999192766,-2.020000000e+02,7014690.11,
NaN,-2.770000000e+02,7014691.00,12
NaN,-3.650000000e+02,7014691.01,
NaN,-4.320000000e+02,7014691.02,
NaN,-4.040000000e+02,7014691.03,
NaN,-3.300000000e+02,7014691.04,
NaN,-3.880000000e+02,7014691.05,
NaN,-4.160000000e+02,7014691.06,
NaN,-4.060000000e+02,7014691.07,
NaN,-4.170000000e+02,7014691.08,
NaN,-4.020000000e+02,7014691.09,
NaN,-3.380000000e+02,7014691.10,
22999196724,-2.250000000e+02,7014691.11,
NaN,-1.900000000e+02,7014692.00,12
NaN,-2.640000000e+02,7014692.01,
NaN,-3.050000000e+02,7014692.02,
NaN,-3.470000000e+02,7014692.03,
NaN,-3.640000000e+02,7014692.04,
NaN,-3.710000000e+02,7014692.05,
NaN,-3.610000000e+02,7014692.06,
NaN,-4.070000000e+02,7014692.07,
NaN,-4.280000000e+02,7014692.08,
NaN,-4.780000000e+02,7014692.09,
NaN,-4.760000000e+02,7014692.10,
22999200682,-4.630000000e+02,7014692.11,
NaN,-4.690000000e+02,7014693.00,12
NaN,-4.470000000e+02,7014693.01,
NaN,-5.040000000e+02,7014693.02,
NaN,-5.140000000e+02,7014693.03,
NaN,-5.320000000e+02,7014693.04,
NaN,-5.850000000e+02,7014693.05,
NaN,-5.580000000e+02,7014693.06,
NaN,-5.030000000e+02,7014693.07,
NaN,-5.440000000e+02,7014693.08,
NaN,-5.380000000e+02,7014693.09,
NaN,-6.380000000e+02,7014693.10,
22999204640,-6.900000000e+02,7014693.11,
NaN,-6.640000000e+02,7014694.00,12
NaN,-5.730000000e+02,7014694.01,
NaN,-4.710000000e+02,7014694.02,
NaN,-4.950000000e+02,7014694.03,
NaN,-5.390000000e+02,7014694.04,
NaN,-5.490000000e+02,7014694.05,
NaN,-5.590000000e+02,7014694.06,
NaN,-5.400000000e+02,7014694.07,
NaN,-7.630000000e+02,7014694.08,
NaN,-8.490000000e+02,7014694.09,
NaN,-8.870000000e+02,7014694.10,
22999208597,-9.530000000e+02,7014694.11,
NaN,-5.670000000e+02,7014695.00,12
NaN,-2.160000000e+02,7014695.01,
NaN,-3.020000000e+02,7014695.02,
NaN,-6.640000000e+02,7014695.03,
NaN,-9.910000000e+02,7014695.04,
NaN,-1.125000000e+03,7014695.05,
NaN,-1.094000000e+03,7014695.06,
NaN,-9.810000000e+02,7014695.07,
