time,cpu_stats.task,cpu_stats.state,cpu_stats.current_priority,cpu_stats.base_priority,cpu_stats.cpu_usage,cpu_stats.runtime_counter,cpu_stats.stack_high_water_mark,sequence_counter,packet_size
23003167734,Tmr Svc,0.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,4.532000000e+03,1.420000000e+03,7014000.00,1
23003167740,IDLE,1.000000000e+00,0.000000000e+00,0.000000000e+00,9.300000000e+01,1.842244000e+07,1.960000000e+02,7014001.00,1
23003167743,StorageFs,2.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.018800000e+04,3.220000000e+03,7014002.00,1
23003167745,AD_SNC,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.550000000e+02,1.288000000e+03,7014003.00,1
23003167747,BattPushBut,3.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,1.000000000e+00,2.760000000e+02,7014004.00,1
23003167749,VBUS,3.000000000e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,1.000000000e+00,1.156000000e+03,7014005.00,1
23003167751,CH_OK,2.000000000e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,2.680000000e+02,7014006.00,1
23003167753,CH_NOK,3.000000000e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,1.000000000e+00,2.760000000e+02,7014007.00,1
23003167755,SW_FSM,3.000000000e+00,3.000000000e+00,3.000000000e+00,0.000000000e+00,0.000000000e+00,2.520000000e+02,7014008.00,1
23003167757,I2C_SENSOR,3.000000000e+00,2.000000000e+00,2.000000000e+00,0.000000000e+00,1.000000000e+00,2.036000000e+03,7014009.00,1
23003167758,UI,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.900000000e+01,1.740000000e+03,7014010.00,1
23003167760,FLASH,2.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.430000000e+02,1.324000000e+03,7014011.00,1
23003167762,USER_MGR,2.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,7.540000000e+02,9.000000000e+02,7014012.00,1
23003167764,SOCF_CAL,3.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.830000000e+03,8.040000000e+02,7014013.00,1
23003167766,SPI_SENSOR,3.000000000e+00,2.000000000e+00,2.000000000e+00,2.000000000e+00,4.184970000e+05,1.384000000e+03,7014014.00,1
23003167768,bleM,3.000000000e+00,2.000000000e+00,2.000000000e+00,0.000000000e+00,8.605000000e+04,6.080000000e+02,7014015.00,1
23003167770,BLE,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.708390000e+05,1.904000000e+03,7014016.00,1
23003167772,WORKER,3.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,2.054100000e+05,9.200000000e+02,7014017.00,1
23003167774,bleA,3.000000000e+00,3.000000000e+00,3.000000000e+00,1.000000000e+00,3.319210000e+05,6.000000000e+02,7014018.00,1
23003167776,AD_IRQ_SNC,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,1.160000000e+02,7014019.00,1
