time,ecg2,sequence_counter,packet_size
NaN,0.000000000e+00,7014337.00,31
NaN,-1.000000000e+00,7014337.01,
NaN,-2.000000000e+00,7014337.02,
NaN,-2.000000000e+00,7014337.03,
NaN,-5.000000000e+00,7014337.04,
NaN,-6.000000000e+00,7014337.05,
NaN,3.000000000e+00,7014337.06,
NaN,-1.900000000e+01,7014337.07,
NaN,9.000000000e+00,7014337.08,
NaN,-6.000000000e+00,7014337.09,
NaN,-4.000000000e+01,7014337.10,
NaN,7.700000000e+01,7014337.11,
NaN,-1.550000000e+02,7014337.12,
NaN,6.000000000e+01,7014337.13,
NaN,1.112000000e+03,7014337.14,
NaN,1.226000000e+03,7014337.15,
NaN,8.640000000e+02,7014337.16,
NaN,9.900000000e+02,7014337.17,
NaN,9.080000000e+02,7014337.18,
NaN,6.620000000e+02,7014337.19,
NaN,5.570000000e+02,7014337.20,
NaN,7.580000000e+02,7014337.21,
NaN,8.840000000e+02,7014337.22,
NaN,4.730000000e+02,7014337.23,
NaN,2.900000000e+02,7014337.24,
NaN,5.840000000e+02,7014337.25,
NaN,6.020000000e+02,7014337.26,
NaN,5.160000000e+02,7014337.27,
NaN,5.050000000e+02,7014337.28,
NaN,5.290000000e+02,7014337.29,
22999129598,9.490000000e+02,7014337.30,
NaN,6.950000000e+02,7014338.00,31
NaN,1.020000000e+02,7014338.01,
NaN,3.810000000e+02,7014338.02,
NaN,4.730000000e+02,7014338.03,
NaN,3.080000000e+02,7014338.04,
NaN,2.000000000e+02,7014338.05,
NaN,1.420000000e+02,7014338.06,
NaN,3.550000000e+02,7014338.07,
NaN,3.620000000e+02,7014338.08,
NaN,3.440000000e+02,7014338.09,
NaN,3.870000000e+02,7014338.10,
NaN,2.540000000e+02,7014338.11,
NaN,2.690000000e+02,7014338.12,
NaN,2.680000000e+02,7014338.13,
NaN,3.000000000e+02,7014338.14,
NaN,4.790000000e+02,7014338.15,
NaN,1.620000000e+02,7014338.16,
NaN,-1.420000000e+02,7014338.17,
NaN,6.700000000e+01,7014338.18,
NaN,7.100000000e+01,7014338.19,
NaN,-4.700000000e+01,7014338.20,
NaN,-8.200000000e+01,7014338.21,
NaN,-1.030000000e+02,7014338.22,
NaN,1.910000000e+02,7014338.23,
NaN,4.480000000e+02,7014338.24,
NaN,3.630000000e+02,7014338.25,
NaN,6.980000000e+02,7014338.26,
NaN,1.137000000e+03,7014338.27,
NaN,6.250000000e+02,7014338.28,
NaN,1.780000000e+02,7014338.29,
22999137534,4.440000000e+02,7014338.30,
NaN,1.930000000e+02,7014339.00,31
NaN,-3.210000000e+02,7014339.01,
NaN,-3.180000000e+02,7014339.02,
NaN,-2.740000000e+02,7014339.03,
NaN,-2.810000000e+02,7014339.04,
NaN,-3.680000000e+02,7014339.05,
NaN,-4.070000000e+02,7014339.06,
NaN,-2.540000000e+02,7014339.07,
NaN,-3.540000000e+02,7014339.08,
NaN,-3.800000000e+02,7014339.09,
NaN,-4.250000000e+02,7014339.10,
NaN,-1.730000000e+02,7014339.11,
NaN,1.177000000e+03,7014339.12,
NaN,2.992000000e+03,7014339.13,
NaN,3.682000000e+03,7014339.14,
NaN,1.747000000e+03,7014339.15,
NaN,-2.610000000e+02,7014339.16,
NaN,-2.990000000e+02,7014339.17,
NaN,-3.470000000e+02,7014339.18,
NaN,-5.900000000e+02,7014339.19,
NaN,-4.300000000e+02,7014339.20,
NaN,-2.120000000e+02,7014339.21,
NaN,-1.790000000e+02,7014339.22,
NaN,-1.140000000e+02,7014339.23,
NaN,-1.000000000e+02,7014339.24,
NaN,-2.900000000e+02,7014339.25,
NaN,4.000000000e+00,7014339.26,
NaN,2.050000000e+02,7014339.27,
NaN,-1.910000000e+02,7014339.28,
NaN,7.000000000e+00,7014339.29,
22999145470,2.920000000e+02,7014339.30,
NaN,-1.700000000e+02,7014340.00,31
NaN,-1.360000000e+02,7014340.01,
NaN,4.010000000e+02,7014340.02,
NaN,2.720000000e+02,7014340.03,
NaN,6.800000000e+01,7014340.04,
NaN,2.750000000e+02,7014340.05,
NaN,3.110000000e+02,7014340.06,
NaN,3.160000000e+02,7014340.07,
NaN,5.250000000e+02,7014340.08,
NaN,3.910000000e+02,7014340.09,
NaN,9.200000000e+01,7014340.10,
NaN,2.090000000e+02,7014340.11,
