time,timestamp,sequence_counter,packet_size
22999166574,start at 2026-01-23_13-35-44,7014004.00,1
22999169159,epoch[1769171745.1082428],7014005.00,1
23000302976,start finapress at 2026-01-23_13-36-19,7014006.00,1
23000531507,stop finapress at 2026-01-23_13-36-26,7014007.00,1
23000917842,start rest at 2026-01-23_13-36-38,7014008.00,1
23002924945,stop rest at 2026-01-23_13-37-39,7014009.00,1
23006487685,start 6bpm at 2026-01-23_13-39-28,7014010.00,1
23008437784,stop 6bpm at 2026-01-23_13-40-27,7014011.00,1
23013868501,start handgrip at 2026-01-23_13-43-13,7014012.00,1
23015828420,stop handgrip at 2026-01-23_13-44-13,7014013.00,1
